id;biller_id;biller;address;phone_number
1;70816;synthesizing;teal;Computer syndicate South Georgia and the South Sandwich Islands
2;17322;system-worthy compressing Cambridgeshire;interface;Jewelery user-centric
3;96616;empower;Strategist Massachusetts sky blue;Home Loan Account
4;99287;Polarised Virginia;orange synthesizing matrix;Marketing
5;46379;Montserrat transmitting;Orchestrator local Avon;explicit
6;30601;HTTP;Generic Metal turn-key;Branding
7;92021;Bacon;grid-enabled;magnetic
8;56568;SSL circuit Flats;Clothing Latvia;Soft
9;31477;Representative invoice Agent;monitor;grey
10;36616;Liberia front-end;Tools magnetic Incredible Granite Mouse;Legacy Saint Vincent and the Grenadines Rubber
