id;schemecategory_id;scheme_category;description
1;43024;compress quantifying Dynamic;Bedfordshire Quality backing up
2;7926;Chicken Bike;Steel International Fresh
3;13359;compressing transitional;turquoise online orange
4;34897;mission-critical Gorgeous Fresh Towels;Saint Pierre and Miquelon haptic firewall
5;33063;hardware;Cambridgeshire
6;91014;online payment;magnetic Avon AI
7;6299;Sweden District;Dynamic 3rd generation
8;42119;FTP;Boliviano Mvdol indexing
9;20946;circuit Outdoors scale;Loaf
10;42451;Car digital;bypassing
