id;billertrans_id;transaction_ref;narration;amount
1;1771;transition backing up;Chief;41481
2;4341;input;calculating Mouse;45005
3;99867;Granite USB Rustic;Concrete;80886
4;53848;responsive methodologies;matrix alarm instruction set;69202
5;45872;Small Frozen Ball Frozen Algeria;Cambridgeshire;37452
6;82691;Table teal methodical;panel Accounts Gorgeous;9247
7;73455;mobile Central African Republic;workforce Investor;16592
8;9049;Anguilla;reboot program;58964
9;80675;Zloty Metrics;De-engineered;66068
10;50079;adapter;Principal content foreground;4376
