id;date_entered;double_entry_code;amount;narration
1;2020-10-13;Generic;62657;communities Personal Loan Account Village
2;2020-10-12;Wooden lavender microchip;1460;Gorgeous Concrete Bike Mill
3;2020-10-12;applications;46428;Incredible Credit Card Account Mauritius Rupee
4;2020-10-13;transmit;75486;Profit-focused
5;2020-10-12;complexity JBOD vertical;88051;bypassing modular Principal
6;2020-10-13;Frozen black;30802;Roads
7;2020-10-13;interface payment Jordanian Dinar;31724;Direct bypassing
8;2020-10-12;hard drive Officer;27944;transmitting
9;2020-10-12;Money Market Account innovative Investment Account;3270;program
10;2020-10-12;Switchable Peru Brand;87791;parsing red supply-chains
