id;kyc_id;kyc;description;kyc_level;phone_number;email_address;first_name;last_name;gender;dateof_birth;address;photo_upload;verified_bvn;verified_valid_id;evidenceof_address;verificationof_address;employment_details;daily_transaction_limit;cumulative_balance_limit;payment_transaction;biller_transaction
1;13459;SDD system Finland;Intranet Utah;91387;false;true;false;false;false;false;true;false;false;true;true;true;false;87937;27469;false;true
2;38720;Corporate holistic Legacy;Credit Card Account;46914;false;true;false;false;false;true;true;false;true;true;true;true;true;85049;80365;true;false
3;38299;Garden;New York;77699;false;false;true;true;true;false;true;false;true;true;false;false;false;31911;58706;true;true
4;26621;Shirt;Towels Balanced lavender;37190;true;false;false;true;false;false;false;false;true;true;false;false;true;64496;34048;true;true
5;74869;USB;Uganda Customer;79287;true;false;false;true;false;false;false;false;false;false;false;true;true;52190;62593;true;true
6;36836;Centers Saudi Riyal calculate;program indexing enterprise;94296;false;false;false;true;true;true;true;true;false;true;false;true;true;29368;73486;true;false
7;61578;Streets Mali;Oval capacitor programming;52232;true;false;false;false;false;false;false;false;true;true;true;false;false;93357;73311;false;true
8;64693;Consultant indexing;B2C Pula Seychelles Rupee;13608;false;true;true;false;true;true;true;false;true;false;false;true;true;32682;4790;false;true
9;31018;back up Soap;cyan;56463;true;true;true;false;true;false;false;true;false;true;false;false;false;10579;71070;false;false
10;81107;Internal Cotton Towels;bottom-line Colorado PNG;3794;true;false;false;true;false;true;true;true;true;false;false;false;true;72106;61480;true;true
